ESP_V (kV),V1,V2,run,R,Dp1,Dp2,Mobility (m2/s/V)
11.0,2850,1250,4,6.225304,63.984939,104.95495254029636,5.9550217e-08
11.0,3000,1250,4,6.569945,65.816925,104.95495254029636,5.6577669e-08
11.0,5,1000,5,2.010903,2.447685,92.41959010208343,3.3946601e-05
11.0,154,1000,5,1.877015,13.852126,92.41959010208343,1.096821e-06
11.0,304,1000,5,1.487267,19.59787,92.41959010208343,5.57415458e-07
11.0,454,1000,5,3.04969,24.094931,92.41959010208343,3.73655492e-07
11.0,604,1000,5,107.973274,27.9457,92.41959010208343,2.81014912e-07
11.0,753,1000,5,289.726115,31.377293,92.41959010208343,2.25184752e-07
11.0,903,1000,5,357.080185,34.509366,92.41959010208343,1.87861657e-07
11.0,1053,1000,5,308.817977,37.423201,92.41959010208343,1.6115168e-07
11.0,1203,1000,5,234.444131,40.156354,92.41959010208343,1.41091444e-07
11.0,1352,1000,5,175.337596,42.744274,92.41959010208343,1.25472561e-07
11.0,1502,1000,5,100.684185,45.211133,92.41959010208343,1.1296706e-07
11.0,1652,1000,5,65.76287,47.574886,92.41959010208343,1.02728405e-07
11.0,1802,1000,5,40.471918,49.844984,92.41959010208343,9.4191458e-08
11.0,1951,1000,5,29.907989,52.045355,92.41959010208343,8.6964523e-08
11.0,2101,1000,5,22.494205,54.172056,92.41959010208343,8.076755e-08
11.0,2251,1000,5,13.31617,56.237026,92.41959010208343,7.5395006e-08
11.0,2401,1000,5,10.526024,58.246453,92.41959010208343,7.0692631e-08
11.0,2550,1000,5,7.965273,60.205577,92.41959010208343,6.6542392e-08
11.0,2700,1000,5,5.394563,62.118885,92.41959010208343,6.2852437e-08
11.0,2850,1000,5,8.339961,63.984939,92.41959010208343,5.9550217e-08
11.0,3000,1000,5,6.642136,65.816925,92.41959010208343,5.6577669e-08
11.0,5,4500,5,2.29434,2.447685,231.8037626546014,3.3946601e-05
11.0,154,4500,5,2.391278,13.852126,231.8037626546014,1.096821e-06
11.0,304,4500,5,2.463257,19.59787,231.8037626546014,5.57415458e-07
11.0,454,4500,5,2.746425,24.094931,231.8037626546014,3.73655492e-07
11.0,604,4500,5,3.372336,27.9457,231.8037626546014,2.81014912e-07
11.0,753,4500,5,6.393584,31.377293,231.8037626546014,2.25184752e-07
11.0,903,4500,5,73.194687,34.509366,231.8037626546014,1.87861657e-07
11.0,1053,4500,5,220.4515,37.423201,231.8037626546014,1.6115168e-07
11.0,1203,4500,5,307.223959,40.156354,231.8037626546014,1.41091444e-07
11.0,1352,4500,5,321.04091,42.744274,231.8037626546014,1.25472561e-07
11.0,1502,4500,5,281.145192,45.211133,231.8037626546014,1.1296706e-07
11.0,1652,4500,5,194.285488,47.574886,231.8037626546014,1.02728405e-07
